Year,Title,Length,Score,Sales,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
1960,Elmer Gantry,12,73,10,Drama,0,0,0,0,0,0
1961,The Misfits,11,68,8,Drama,Action,Romance,0,0,0,0
1961,The Hustler,11,76,7,Drama,0,0,0,0,0,0
1961,West Side Story,15,70,43,Crime,Drama,Music,0,0,0,0
1961,Judgment at Nuremberg,21,76,10,Drama,History,0,0,0,0,0
1961,Pocketful of Miracles,21,73,5,Comedy,Drama,0,0,0,0,0
1962,The Brain That Wouldn't Die,27,44,0,Horror,Science Fiction,0,0,0,0,0
1962,The Man Who Shot Liberty Valance,32,74,8,Western,0,0,0,0,0,0
1962,Lolita,6,73,9,Drama,Romance,0,0,0,0,0
1962,The Longest Day,15,72,50,Action,Drama,History,War,0,0,0
1962,Dr. No,6,69,59,Adventure,Action,Thriller,0,0,0,0
1962,Lawrence of Arabia,18,78,69,Adventure,Drama,History,War,0,0,0
1962,To Kill a Mockingbird,21,80,13,Crime,Drama,0,0,0,0,0
1963,55 Days at Peking,17,63,10,Action,Drama,History,0,0,0,0
1963,Hud,3,75,10,Action,Drama,Western,0,0,0,0
1963,Donovan's Reef,14,60,6,Adventure,Comedy,Romance,0,0,0,0
1963,Cleopatra,9,67,71,Drama,History,Romance,0,0,0,0
1963,The Great Escape,16,78,11,Adventure,Drama,History,Thriller,War,0,0
1963,Tom Jones,9,61,37,Adventure,Comedy,History,Romance,0,0,0
1963,From Russia with Love,21,69,78,Action,Thriller,Adventure,0,0,0,0
1963,It's a Mad, Mad, Mad, Mad World,31,70,60,Action,Adventure,Comedy,Crime,0,0,0
1964,Nothing But a Man,17,70,0,Drama,0,0,0,0,0,0
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love th,62,80,9,Drama,Comedy,War,0,0,0,0
1964,The Fall of the Roman Empire,28,60,4,Drama,History,0,0,0,0,0
1964,A Hard Day's Night,18,73,12,Comedy,Music,0,0,0,0,0
1964,Mary Poppins,12,74,102,Comedy,Family,Fantasy,0,0,0,0
1964,A Fistful of Dollars,20,76,14,Western,0,0,0,0,0,0
1964,Goldfinger,10,72,124,Adventure,Action,Thriller,0,0,0,0
1964,The Train,9,72,6,Action,Drama,Thriller,War,0,0,0
1964,My Fair Lady,12,74,72,Drama,Family,Music,Romance,0,0,0
1964,The Married Woman,17,71,0,Drama,Romance,0,0,0,0,0
1965,The Greatest Story Ever Told,28,65,15,Drama,History,0,0,0,0,0
1965,The Sound of Music,18,74,286,Drama,Family,Music,Romance,0,0,0
1965,Major Dundee,12,62,0,War,Western,0,0,0,0,0
1965,The Party's Over,16,61,0,Drama,0,0,0,0,0,0
1965,Pierrot le Fou,14,76,0,Drama,Thriller,0,0,0,0,0
1965,A Charlie Brown Christmas,25,75,0,Animation,Family,Comedy,TV Movie,0,0,0
1965,Thunderball,11,65,141,Adventure,Action,Thriller,0,0,0,0
1965,Doctor Zhivago,14,74,111,Drama,Romance,War,0,0,0,0
1966,Harper,6,62,12,Action,Drama,Thriller,Crime,Mystery,0,0
1966,Torn Curtain,12,64,13,Mystery,Thriller,0,0,0,0,0
1966,Batman,6,61,0,Family,Adventure,Comedy,Science Fiction,Crime,0,0
1966,A Funny Thing Happened on the Way to the Forum,46,61,0,Comedy,Music,0,0,0,0,0
1966,A Man for All Seasons,21,75,28,Drama,History,0,0,0,0,0
1966,The Good, the Bad and the Ugly,30,81,6,Western,0,0,0,0,0,0
1967,You Only Live Twice,19,65,111,Action,Thriller,Adventure,0,0,0,0
1967,Point Blank,11,71,3,Action,Crime,Drama,Thriller,0,0,0
1967,The Torture Chamber of Dr. Sadism,33,63,0,Mystery,Horror,History,0,0,0,0
1967,In Cold Blood,13,74,13,Crime,Drama,0,0,0,0,0
1968,2001: A Space Odyssey,21,79,68,Science Fiction,Mystery,Adventure,0,0,0,0
1968,Yours, Mine and Ours,20,62,0,Comedy,Drama,Family,0,0,0,0
1968,Rosemary's Baby,15,75,33,Horror,Drama,Mystery,0,0,0,0
1968,Hang 'em High,13,67,6,Western,0,0,0,0,0,0
1968,Charly,6,66,0,Drama,Romance,Science Fiction,0,0,0,0
1968,Oliver!,7,70,37,Drama,Family,Music,0,0,0,0
1968,Night of the Living Dead,24,75,30,Horror,0,0,0,0,0,0
1968,Barbarella,10,57,2,Science Fiction,0,0,0,0,0,0
1968,Shalako,7,54,2,Western,0,0,0,0,0,0
1968,Once Upon a Time in the West,28,81,5,Western,0,0,0,0,0,0
1969,Sweet Charity,13,65,20,Comedy,Drama,Music,Romance,0,0,0
1969,Machine Gun McCain,18,73,0,Drama,Action,Thriller,Crime,Foreign,0,0
1969,Midnight Cowboy,15,74,44,Drama,0,0,0,0,0,0
1969,The Wild Bunch,14,76,0,Adventure,Western,0,0,0,0,0
1969,Mississippi Mermaid,19,67,0,Crime,Drama,Romance,0,0,0,0
1969,The Stewardesses,16,43,27,Comedy,0,0,0,0,0,0
1969,Butch Cassidy and the Sundance Kid,34,74,102,History,Drama,Western,Crime,0,0,0
1969,Paint Your Wagon,16,62,31,Drama,Action,Comedy,Western,Music,0,0
1969,On Her Majesty's Secret Service,31,65,81,Adventure,Action,Thriller,0,0,0,0
1969,Topaz,5,61,6,Action,Drama,Mystery,Thriller,0,0,0
1970,Darling Lili,12,49,0,Drama,Comedy,Thriller,Music,Romance,0,0
1970,Patton,6,73,89,Drama,History,War,0,0,0,0
1970,Tora! Tora! Tora!,17,69,29,History,Action,Drama,Adventure,War,0,0
1970,The Molly Maguires,18,59,2,Drama,History,0,0,0,0,0
1970,Woodstock,9,71,34,History,Documentary,Music,0,0,0,0
1970,Beneath the Planet of the Apes,30,62,18,Adventure,Science Fiction,Mystery,0,0,0,0
1970,The Ballad of Cable Hogue,25,69,5,Action,Comedy,Western,0,0,0,0
1970,Cotton Comes to Harlem,22,67,0,Action,Adventure,0,0,0,0,0
1970,Catch-22,8,67,24,War,Comedy,Drama,0,0,0,0
1970,Beyond the Valley of the Dolls,30,66,40,Comedy,Drama,Thriller,0,0,0,0
1970,The Conformist,14,76,0,Drama,0,0,0,0,0,0
1970,Waterloo,8,70,3,History,Action,Drama,0,0,0,0
1971,The Night Visitor,17,73,0,Crime,Horror,0,0,0,0,0
1971,Pink Narcissus,14,60,0,Drama,Romance,0,0,0,0,0
1971,The Andromeda Strain,20,70,12,Science Fiction,Thriller,0,0,0,0,0
1971,Sweet Sweetback's Baadasssss Song,33,46,15,Action,Drama,Romance,0,0,0,0
1971,Bananas,7,67,11,Comedy,0,0,0,0,0,0
1971,Escape from the Planet of the Apes,34,63,12,Action,Science Fiction,0,0,0,0,0
1971,Willy Wonka & the Chocolate Factory,35,74,4,Family,Fantasy,0,0,0,0,0
1971,The French Connection,21,74,41,Action,Crime,Thriller,0,0,0,0
1971,Fiddler on the Roof,19,74,83,Drama,Romance,0,0,0,0,0
1971,Diamonds Are Forever,20,63,116,Adventure,Action,Thriller,0,0,0,0
1972,Silent Running,14,63,0,Adventure,Drama,Science Fiction,0,0,0,0
1972,Pink Flamingos,14,62,6,Horror,Comedy,Crime,0,0,0,0
1972,The Godfather,13,84,245,Drama,Crime,0,0,0,0,0
1972,Solaris,7,77,0,Drama,Science Fiction,Adventure,Mystery,0,0,0
1972,Frenzy,6,71,12,Crime,Drama,Mystery,Thriller,0,0,0
1972,Conquest of the Planet of the Apes,34,61,9,Action,Science Fiction,0,0,0,0,0
1972,Everything You Always Wanted to Know About Sex *But Were Afrai,62,66,18,Comedy,0,0,0,0,0,0
1972,1776,4,71,0,Drama,Comedy,History,Music,0,0,0
1972,Cries and Whispers,18,78,0,Drama,0,0,0,0,0,0
1973,High Plains Drifter,19,74,15,Western,0,0,0,0,0,0
1973,Pat Garrett & Billy the Kid,27,72,11,Western,0,0,0,0,0,0
1973,Battle for the Planet of the Apes,33,55,8,Action,Science Fiction,0,0,0,0,0
1973,Live and Let Die,16,64,161,Adventure,Action,Thriller,0,0,0,0
1973,American Graffiti,17,69,140,Comedy,Drama,0,0,0,0,0
1973,Mean Streets,12,72,3,Drama,Crime,0,0,0,0,0
1973,Sleeper,7,70,18,Comedy,Romance,Science Fiction,0,0,0,0
1973,The Sting,9,79,159,Comedy,Crime,Drama,0,0,0,0
1973,The Exorcist,12,75,441,Drama,Horror,Thriller,0,0,0,0
1974,Blazing Saddles,15,72,119,Western,Comedy,0,0,0,0,0
1974,The Conversation,16,75,4,Crime,Drama,Mystery,0,0,0,0
1974,The Texas Chain Saw Massacre,28,72,30,Horror,0,0,0,0,0,0
1974,Benji,5,61,0,Adventure,Family,Romance,0,0,0,0
1974,The Man with the Golden Gun,27,63,97,Adventure,Action,Thriller,0,0,0,0
1974,The Front Page,14,69,0,Romance,Drama,Comedy,0,0,0,0
1974,Young Frankenstein,18,77,86,Comedy,Science Fiction,0,0,0,0,0
1974,The Godfather: Part II,22,83,47,Drama,Crime,0,0,0,0,0
1975,Monty Python and the Holy Grail,31,78,5,Adventure,Comedy,Fantasy,0,0,0,0
1975,Death Race 2000,15,59,8,Action,Comedy,Science Fiction,0,0,0,0
1975,The Return of the Pink Panther,30,67,41,Comedy,0,0,0,0,0,0
1975,Jaws,4,75,470,Horror,Thriller,Adventure,0,0,0,0
1975,One Flew Over the Cuckoo's Nest,31,82,108,Drama,0,0,0,0,0,0
1975,Barry Lyndon,12,77,20,Drama,Romance,War,0,0,0,0
1976,Taxi Driver,11,80,28,Crime,Drama,0,0,0,0,0
1976,Robin and Marian,16,66,0,Action,Adventure,Drama,Romance,0,0,0
1976,The Bad News Bears,18,69,35,Comedy,Family,0,0,0,0,0
1976,Family Plot,11,67,7,Comedy,Crime,Thriller,0,0,0,0
1976,The Omen,8,72,60,Horror,Thriller,0,0,0,0,0
1976,Silent Movie,12,67,0,Comedy,0,0,0,0,0,0
1976,Logan's Run,11,66,25,Adventure,Action,Romance,Science Fiction,0,0,0
1976,Network,7,77,23,Drama,0,0,0,0,0,0
1976,Rocky,5,75,117,Drama,0,0,0,0,0,0
1977,Eraserhead,10,75,7,Drama,Fantasy,Horror,Science Fiction,0,0,0
1977,Annie Hall,10,78,38,Comedy,Drama,Romance,0,0,0,0
1977,Star Wars,9,81,775,Adventure,Action,Science Fiction,0,0,0,0
1977,A Bridge Too Far,16,69,50,Drama,History,War,0,0,0,0
1977,Exorcist II: The Heretic,24,45,30,Horror,Thriller,Fantasy,0,0,0,0
1977,New York, New York,18,61,0,Drama,Music,Romance,0,0,0,0
1977,Sorcerer,8,74,12,Action,Thriller,Adventure,0,0,0,0
1977,The Spy Who Loved Me,20,66,185,Adventure,Action,Thriller,0,0,0,0
1977,The Kentucky Fried Movie,24,64,0,Comedy,0,0,0,0,0,0
1977,Kingdom of the Spiders,22,57,17,Horror,Science Fiction,0,0,0,0,0
1977,March or Die,12,62,0,Action,Adventure,Drama,War,0,0,0
1977,Damnation Alley,15,50,8,Action,Adventure,Science Fiction,0,0,0,0
1977,Julia,5,63,0,Drama,0,0,0,0,0,0
1977,Close Encounters of the Third Kind,34,72,303,Science Fiction,Drama,0,0,0,0,0
1977,Capricorn One,13,64,0,Drama,Action,Thriller,Science Fiction,0,0,0
1977,High Anxiety,12,65,31,Comedy,Music,0,0,0,0,0
1978,F.I.S.T.,8,64,0,Drama,Action,0,0,0,0,0
1978,The Last Waltz,14,79,0,Documentary,Music,0,0,0,0,0
1978,Jaws 2,6,59,187,Horror,Thriller,0,0,0,0,0
1978,Grease,6,72,181,Romance,0,0,0,0,0,0
1978,Animal House,12,70,141,Comedy,0,0,0,0,0,0
1978,Days of Heaven,14,76,0,Drama,Romance,0,0,0,0,0
1978,The Boys from Brazil,20,66,0,Horror,Drama,Thriller,Science Fiction,0,0,0
1978,The Wiz,7,59,21,Adventure,Family,Fantasy,Music,0,0,0
1978,Halloween,9,74,70,Horror,Thriller,0,0,0,0,0
1978,Force 10 from Navarone,22,64,7,Action,Adventure,War,Thriller,0,0,0
1978,Caravans,8,58,0,Action,Adventure,Drama,Romance,0,0,0
1978,Alien Zone,10,40,0,Horror,Action,Thriller,Science Fiction,0,0,0
1978,The Deer Hunter,15,78,50,Drama,War,0,0,0,0,0
1978,Superman,8,69,300,Action,Adventure,Fantasy,Science Fiction,0,0,0
1979,Prophecy,8,54,54,Horror,Science Fiction,0,0,0,0,0
1979,The First Great Train Robbery,29,66,0,Thriller,Adventure,Drama,Crime,0,0,0
1979,Mad Max,7,66,100,Adventure,Action,Thriller,Science Fiction,0,0,0
1979,Alien,5,79,104,Horror,Action,Thriller,Science Fiction,0,0,0
1979,The Muppet Movie,16,70,76,Adventure,Comedy,Family,0,0,0,0
1979,Escape from Alcatraz,20,72,43,Crime,Drama,0,0,0,0,0
1979,Moonraker,9,59,210,Action,Adventure,Thriller,Science Fiction,0,0,0
1979,Apocalypse Now,14,80,89,Drama,War,0,0,0,0,0
1979,The Black Stallion,18,70,37,Adventure,Family,0,0,0,0,0
1979,Meteor,6,51,0,Action,Science Fiction,Thriller,0,0,0,0
1979,The Rose,8,68,29,Drama,Music,Romance,0,0,0,0
1979,Penitentiary,12,49,0,Action,Drama,0,0,0,0,0
1979,Star Trek: The Motion Picture,29,62,139,Science Fiction,Adventure,Mystery,0,0,0,0
1979,1941,4,56,31,Action,Comedy,0,0,0,0,0
1979,The Black Hole,14,61,35,Adventure,Family,Science Fiction,Action,0,0,0
1979,All That Jazz,13,73,37,Drama,Music,0,0,0,0,0
1980,Raise the Titanic,17,52,0,Action,Drama,Thriller,0,0,0,0
1980,The Fog,7,64,21,Horror,0,0,0,0,0,0
1980,Coal Miner's Daughter,21,72,67,Drama,Music,0,0,0,0,0
1980,Out of the Blue,15,65,0,Drama,0,0,0,0,0,0
1980,The Long Riders,15,66,15,Western,History,0,0,0,0,0
1980,The Empire Strikes Back,23,82,538,Adventure,Action,Science Fiction,0,0,0,0
1980,The Shining,11,81,44,Horror,Thriller,0,0,0,0,0
1980,Galaxina,8,33,4,Comedy,Science Fiction,0,0,0,0,0
1980,The Blues Brothers,18,75,115,Music,Comedy,Action,Crime,0,0,0
1980,Can't Stop the Music,20,49,0,Comedy,Music,0,0,0,0,0
1980,Dressed to Kill,15,68,31,Horror,Mystery,Thriller,0,0,0,0
1980,Airplane!,9,71,83,Comedy,0,0,0,0,0,0
1980,The Blue Lagoon,15,58,58,Romance,Adventure,Drama,0,0,0,0
1980,Caddyshack,10,66,39,Comedy,0,0,0,0,0,0
1980,Flash Gordon,12,61,27,Science Fiction,0,0,0,0,0,0
1980,Ordinary People,15,74,0,Drama,0,0,0,0,0,0
1980,The Elephant Man,16,79,26,Drama,History,0,0,0,0,0
1980,Somewhere in Time,17,72,0,Science Fiction,Drama,Fantasy,Romance,0,0,0
1980,Private Benjamin,16,60,0,Comedy,0,0,0,0,0,0
1980,Raging Bull,11,77,23,Drama,0,0,0,0,0,0
1980,Heaven's Gate,13,64,3,Action,Drama,History,Western,0,0,0
1980,Superman II,11,65,190,Action,Adventure,Fantasy,Science Fiction,0,0,0
1981,Sphinx,6,60,0,Adventure,Mystery,Thriller,0,0,0,0
1981,Nighthawks,10,64,19,Action,Crime,Thriller,0,0,0,0
1981,The Postman Always Rings Twice,30,64,0,Romance,Crime,Drama,0,0,0,0
1981,The Howling,11,64,17,Drama,Horror,0,0,0,0,0
1981,Lion of the Desert,18,74,0,Action,History,War,0,0,0,0
1981,The Beyond,10,66,0,Horror,0,0,0,0,0,0
1981,Graduation Day,14,50,0,Horror,0,0,0,0,0,0
1981,Friday the 13th Part 2,22,60,21,Horror,Thriller,0,0,0,0,0
1981,Inchon,6,65,5,Drama,History,War,0,0,0,0
1981,Chariots of Fire,16,68,58,Drama,History,0,0,0,0,0
1981,The Four Seasons,16,63,0,Comedy,Drama,Romance,0,0,0,0
1981,Escape from New York,20,69,50,Science Fiction,Action,0,0,0,0,0
1981,Raiders of the Lost Ark,23,77,389,Adventure,Action,0,0,0,0,0
1981,History of the World: Part I,28,65,31,Comedy,0,0,0,0,0,0
1981,For Your Eyes Only,18,63,195,Adventure,Action,Thriller,0,0,0,0
1981,Stripes,7,65,85,Action,Comedy,0,0,0,0,0
1981,Dragonslayer,12,65,14,Fantasy,0,0,0,0,0,0
1981,Time Bandits,12,66,42,Family,Fantasy,Science Fiction,Adventure,Comedy,0,0
1981,Blow Out,8,73,12,Drama,Mystery,Thriller,0,0,0,0
1981,Under the Rainbow,17,49,2,Comedy,0,0,0,0,0,0
1981,Heavy Metal,11,62,0,Animation,Science Fiction,0,0,0,0,0
1981,The Legend of the Lone Ranger,29,37,2,Action,Adventure,Romance,Western,0,0,0
1981,Das Boot,8,79,85,Action,Drama,History,War,Adventure,0,0
1981,Mommie Dearest,14,65,0,Drama,0,0,0,0,0,0
1981,The Evil Dead,13,73,29,Horror,0,0,0,0,0,0
1981,Roar,4,56,2,Adventure,Thriller,0,0,0,0,0
1981,The Pursuit of D.B. Cooper,26,68,0,Adventure,Crime,Thriller,0,0,0,0
1981,Porky's,7,61,125,Comedy,0,0,0,0,0,0
1981,Quest for Fire,14,71,55,Adventure,Drama,0,0,0,0,0
1981,Heartbeeps,10,38,2,Comedy,Romance,Family,0,0,0,0
1981,Mad Max 2: The Road Warrior,27,73,24,Adventure,Action,Thriller,Science Fiction,0,0,0
1981,Reds,4,71,40,Drama,History,0,0,0,0,0
1981,Modern Problems,15,56,0,Comedy,0,0,0,0,0,0
1982,Butterfly,9,50,0,Crime,Drama,0,0,0,0,0
1982,The Man from Snowy River,24,68,20,Family,Drama,Action,Western,Romance,0,0
1982,Diner,5,69,0,Comedy,Drama,0,0,0,0,0
1982,Conan the Barbarian,19,66,79,Adventure,Fantasy,Action,0,0,0,0
1982,Cat People,10,60,0,Drama,Fantasy,Horror,Thriller,0,0,0
1982,E.T. the Extra-Terrestrial,26,73,792,Science Fiction,Adventure,Family,Fantasy,0,0,0
1982,Star Trek II: The Wrath of Khan,31,73,96,Action,Adventure,Science Fiction,Thriller,0,0,0
1982,Poltergeist,11,70,122,Horror,0,0,0,0,0,0
1982,Firefox,7,55,70,Science Fiction,Action,Adventure,Thriller,0,0,0
1982,The Thing,9,78,19,Horror,Mystery,Science Fiction,0,0,0,0
1982,Megaforce,9,35,0,Adventure,Action,Science Fiction,0,0,0,0
1982,Blade Runner,12,79,33,Science Fiction,Drama,Thriller,0,0,0,0
1982,The Best Little Whorehouse in Texas,35,59,69,Comedy,0,0,0,0,0,0
1982,Friday the 13th Part III,24,57,36,Horror,Thriller,0,0,0,0,0
1982,Fast Times at Ridgemont High,28,70,27,Comedy,0,0,0,0,0,0
1982,The Beastmaster,15,60,14,Action,Fantasy,0,0,0,0,0
1982,Class of 1984,13,62,0,Action,Drama,Horror,Crime,Thriller,0,0
1982,Halloween III: Season of the Witch,34,50,14,Horror,Mystery,Science Fiction,0,0,0,0
1982,First Blood,11,72,125,Action,Adventure,Thriller,War,0,0,0
1982,Jekyll and Hyde ... Together Again,34,46,0,Comedy,Horror,Science Fiction,0,0,0,0
1982,Creepshow,9,67,21,Horror,Comedy,Fantasy,0,0,0,0
1982,Gandhi,6,74,77,Drama,History,0,0,0,0,0
1982,The Verdict,11,74,53,Drama,0,0,0,0,0,0
1982,Tootsie,7,69,177,Comedy,Romance,0,0,0,0,0
1983,Videodrome,10,71,2,Horror,Mystery,Science Fiction,0,0,0,0
1983,Gabriela,8,60,0,Drama,Romance,0,0,0,0,0
1983,The Outsiders,13,69,33,Crime,Drama,0,0,0,0,0
1983,Love Letters,12,46,0,Drama,Thriller,0,0,0,0,0
1983,Losin' It,9,45,1,Comedy,0,0,0,0,0,0
1983,Lone Wolf McQuade,17,55,12,Action,Crime,Drama,Romance,Thriller,Western,0
1983,Flashdance,10,61,92,Drama,Music,Romance,0,0,0,0
1983,The Wicked Lady,15,43,0,Drama,Adventure,0,0,0,0,0
1983,Return of the Jedi,18,79,572,Adventure,Action,Science Fiction,0,0,0,0
1983,WarGames,8,70,79,Thriller,Science Fiction,0,0,0,0,0
1983,Octopussy,9,62,187,Adventure,Action,Thriller,0,0,0,0
1983,Trading Places,14,71,90,Comedy,0,0,0,0,0,0
1983,Superman III,12,53,75,Comedy,Action,Adventure,Fantasy,Science Fiction,0,0
1983,Twilight Zone: The Movie,24,62,29,Drama,Fantasy,Horror,Science Fiction,Thriller,0,0
1983,National Lampoon's Vacation,27,71,61,Comedy,Adventure,Romance,0,0,0,0
1983,Krull,5,58,16,Fantasy,Action,Adventure,0,0,0,0
1983,The Ballad of Gregorio Cortez,29,0,0,Western,0,0,0,0,0,0
1983,Never Say Never Again,21,58,160,Adventure,Action,Thriller,0,0,0,0
1983,The Right Stuff,15,73,21,Drama,History,0,0,0,0,0
1983,The Dead Zone,13,69,20,Horror,Science Fiction,Thriller,0,0,0,0
1983,Yentl,5,62,30,Music,Drama,Romance,0,0,0,0
1983,A Christmas Story,17,74,19,Comedy,Family,0,0,0,0,0
1983,Scarface,8,80,65,Action,Crime,Drama,Thriller,0,0,0
1984,Once Upon a Time in America,27,82,0,Drama,Crime,0,0,0,0,0
1984,Footloose,9,64,80,Drama,Family,Music,Romance,0,0,0
1984,Repo Man,8,67,2,Comedy,Crime,Science Fiction,Thriller,0,0,0
1984,The Hotel New Hampshire,23,58,0,Comedy,Drama,0,0,0,0,0
1984,Splash,6,61,69,Comedy,Fantasy,Romance,0,0,0,0
1984,The Ice Pirates,15,57,0,Action,Science Fiction,Comedy,0,0,0,0
1984,Police Academy,14,65,146,Comedy,Crime,0,0,0,0,0
1984,The NeverEnding Story,21,70,20,Drama,Family,Fantasy,Adventure,0,0,0
1984,Friday the 13th: The Final Chapter,34,59,32,Horror,Thriller,0,0,0,0,0
1984,The Toxic Avenger,17,63,0,Science Fiction,Action,Comedy,Horror,0,0,0
1984,The Bounty,10,65,8,Action,Drama,History,0,0,0,0
1984,Firestarter,11,59,17,Fantasy,Drama,Horror,Action,Thriller,0,0
1984,Indiana Jones and the Temple of Doom,36,71,333,Adventure,Action,0,0,0,0,0
1984,Star Trek III: The Search for Spock,35,64,87,Science Fiction,Action,Adventure,Thriller,0,0,0
1984,Gremlins,8,69,153,Fantasy,Horror,Comedy,0,0,0,0
1984,The Karate Kid,14,69,90,Drama,0,0,0,0,0,0
1984,Conan the Destroyer,19,58,100,Adventure,Fantasy,Action,0,0,0,0
