Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Score_Diff
Adventure Island                            ,NES ,1986,Platform    ,Hudson Soft                ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
Rad Racer                                   ,NES ,1986,Racing      ,Nintendo                   ,1.1,0.4,0.4,0.1,2,NA  ,NA  ,NA  ,NA  
Dragon Warrior                              ,NES ,1986,Role-Playing,Capcom                     ,0.5,0,0.5,1.5,2.5,NA  ,NA  ,NA  ,NA  
Gradius                                     ,NES ,1986,Shooter     ,Konami Digital Entertainmen,0.3,0.1,1,0,1.4,NA  ,NA  ,NA  ,NA  
TwinBee                                     ,NES ,1986,Shooter     ,Konami Digital Entertainmen,0,0,1.2,0,1.2,NA  ,NA  ,NA  ,NA  
Star Soldier                                ,NES ,1986,Shooter     ,Hudson Soft                ,0.3,0.1,0.6,0,1,NA  ,NA  ,NA  ,NA  
World Class Track Meet                      ,NES ,1986,Sports      ,Namco Bandai Games         ,1.9,0.5,0.6,0.1,3.1,NA  ,NA  ,NA  ,NA  
Pro Yakyuu Family Stadium                   ,NES ,1986,Sports      ,Namco Bandai Games         ,0.1,0,2,0,2.2,NA  ,NA  ,NA  ,NA  
Kung-Fu Master                              ,2600,1987,Action      ,Activision                 ,0.6,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
Commando                                    ,2600,1987,Action      ,Activision                 ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Zelda II: The Adventure of Link             ,NES ,1987,Adventure   ,Nintendo                   ,2.2,0.5,1.6,0.1,4.4,NA  ,NA  ,NA  ,NA  
Mike Tyson's Punch-Out!!                    ,NES ,1987,Fighting    ,Nintendo                   ,2,0.5,0.5,0.1,3,NA  ,NA  ,NA  ,NA  
Pro Wrestling                               ,NES ,1987,Fighting    ,Nintendo                   ,0.8,0.2,1.4,0,2.4,NA  ,NA  ,NA  ,NA  
Castlevania II: Simon's Quest               ,NES ,1987,Platform    ,Konami Digital Entertainmen,0.5,0.1,0.4,0,0.9,NA  ,NA  ,NA  ,NA  
Mega Man                                    ,NES ,1987,Platform    ,Capcom                     ,0.5,0.1,0.3,0,0.8,NA  ,NA  ,NA  ,NA  
Dragon Warrior II                           ,NES ,1987,Role-Playing,Enix Corporation           ,0.1,0,2.4,0,2.6,NA  ,NA  ,NA  ,NA  
Gegege no Kitarou 2: Youkai Gundan no Chouse,NES ,1987,Role-Playing,Namco Bandai Games         ,0,0,1.2,0,1.2,NA  ,NA  ,NA  ,NA  
Final Fantasy                               ,NES ,1987,Role-Playing,SquareSoft                 ,0.3,0,0.5,0,0.8,NA  ,NA  ,NA  ,NA  
Defender II                                 ,2600,1987,Shooter     ,Atari                      ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Volleyball                                  ,NES ,1987,Sports      ,Nintendo                   ,0.1,0,2,0,2.1,NA  ,NA  ,NA  ,NA  
Pro Yakyuu Family Stadium '87               ,NES ,1987,Sports      ,Namco Bandai Games         ,0.1,0,1.3,0,1.4,NA  ,NA  ,NA  ,NA  
Mega Man 2                                  ,NES ,1988,Action      ,Capcom                     ,0.9,0.1,0.4,0,1.5,NA  ,NA  ,NA  ,NA  
Super Mario Bros. 3                         ,NES ,1988,Platform    ,Nintendo                   ,9.5,3.4,3.8,0.5,17.3,NA  ,NA  ,NA  ,NA  
Super Mario Bros. 2                         ,NES ,1988,Platform    ,Nintendo                   ,5.4,1.2,0.7,0.2,7.5,NA  ,NA  ,NA  ,NA  
Donkey Kong Classics                        ,NES ,1988,Platform    ,Nintendo                   ,0.6,0.1,0.8,0,1.6,NA  ,NA  ,NA  ,NA  
Disney's DuckTales                          ,GB  ,1988,Platform    ,Capcom                     ,0.8,0.2,0.3,0,1.4,NA  ,NA  ,NA  ,NA  
Tetris                                      ,NES ,1988,Puzzle      ,Nintendo                   ,3,0.7,1.8,0.1,5.6,NA  ,NA  ,NA  ,NA  
R.C. Pro-Am                                 ,NES ,1988,Racing      ,Nintendo                   ,1.5,0.4,0.2,0.1,2.1,NA  ,NA  ,NA  ,NA  
Dragon Warrior III                          ,NES ,1988,Role-Playing,Enix Corporation           ,0.1,0,3.8,0,3.9,NA  ,NA  ,NA  ,NA  
Dragon Ball: Daimaou Fukkatsu               ,NES ,1988,Role-Playing,Namco Bandai Games         ,0,0,1.2,0,1.2,NA  ,NA  ,NA  ,NA  
Final Fantasy II                            ,NES ,1988,Role-Playing,SquareSoft                 ,0,0,0.8,0,0.8,NA  ,NA  ,NA  ,NA  
River Raid II                               ,2600,1988,Shooter     ,Activision                 ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Ice Hockey                                  ,NES ,1988,Sports      ,Nintendo                   ,1.3,0.3,0.8,0.1,2.4,NA  ,NA  ,NA  ,NA  
Pro Yakyuu Family Stadium '88               ,NES ,1988,Sports      ,Namco Bandai Games         ,0.1,0,1.1,0,1.2,NA  ,NA  ,NA  ,NA  
Teenage Mutant Ninja Turtles                ,NES ,1989,Action      ,Palcom                     ,3.4,0.4,0.3,0,4.2,NA  ,NA  ,NA  ,NA  
Double Dragon                               ,2600,1989,Action      ,Activision                 ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Yakuman                                     ,GB  ,1989,Misc        ,Nintendo                   ,0,0,1.3,0,1.3,NA  ,NA  ,NA  ,NA  
Super Mario Land                            ,GB  ,1989,Platform    ,Nintendo                   ,10.8,2.7,4.2,0.4,18.1,NA  ,NA  ,NA  ,NA  
Disney's DuckTales                          ,NES ,1989,Platform    ,Capcom                     ,0.9,0.3,0.4,0,1.7,NA  ,NA  ,NA  ,NA  
Castlevania III: Dracula's Curse            ,NES ,1989,Platform    ,Konami Digital Entertainmen,0.4,0.1,0.4,0,0.8,NA  ,NA  ,NA  ,NA  
Tetris                                      ,GB  ,1989,Puzzle      ,Nintendo                   ,23.2,2.3,4.2,0.6,30.3,NA  ,NA  ,NA  ,NA  
Dr. Mario                                   ,GB  ,1989,Puzzle      ,Nintendo                   ,2.2,1,2,0.2,5.3,NA  ,NA  ,NA  ,NA  
Alleyway                                    ,GB  ,1989,Puzzle      ,Nintendo                   ,1,0.4,0.6,0.1,1.9,NA  ,NA  ,NA  ,NA  
The Final Fantasy Legend                    ,GB  ,1989,Role-Playing,SquareSoft                 ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
Famicom Jump: Eiyuu Retsuden                ,NES ,1989,Role-Playing,Namco Bandai Games         ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
SolarStriker                                ,GB  ,1989,Shooter     ,Nintendo                   ,0.4,0.4,0.4,0,1.2,NA  ,NA  ,NA  ,NA  
Golf                                        ,GB  ,1989,Sports      ,Nintendo                   ,0.8,0.3,0.9,0,2.1,NA  ,NA  ,NA  ,NA  
Tennis                                      ,GB  ,1989,Sports      ,Nintendo                   ,0.8,0.3,0.9,0,2,NA  ,NA  ,NA  ,NA  
Baseball                                    ,GB  ,1989,Sports      ,Nintendo                   ,0.7,0.3,0.7,0,1.6,NA  ,NA  ,NA  ,NA  
Streets of Rage                             ,GEN ,1990,Action      ,Sega                       ,1.9,0.6,0.1,0.1,2.6,NA  ,NA  ,NA  ,NA  
Teenage Mutant Ninja Turtles II: The Arcade ,NES ,1990,Action      ,Konami Digital Entertainmen,1.7,0.2,0.2,0,2.2,NA  ,NA  ,NA  ,NA  
Final Fight                                 ,SNES,1990,Action      ,Capcom                     ,0.7,0.2,0.7,0,1.6,NA  ,NA  ,NA  ,NA  
Super Mario World                           ,SNES,1990,Platform    ,Nintendo                   ,12.8,3.8,3.5,0.6,20.6,NA  ,NA  ,NA  ,NA  
Disney's Chip 'n Dale: Rescue Rangers       ,NES ,1990,Platform    ,Capcom                     ,0.7,0.1,0.3,0,1.2,NA  ,NA  ,NA  ,NA  
Mega Man 3                                  ,NES ,1990,Platform    ,Capcom                     ,0.7,0.1,0.4,0,1.2,NA  ,NA  ,NA  ,NA  
Dr. Mario                                   ,NES ,1990,Puzzle      ,Nintendo                   ,2.6,0.6,1.5,0.1,4.8,NA  ,NA  ,NA  ,NA  
Qix                                         ,GB  ,1990,Puzzle      ,Nintendo                   ,0.5,0.2,0.4,0,1.1,NA  ,NA  ,NA  ,NA  
F-1 Race                                    ,GB  ,1990,Racing      ,Nintendo                   ,1.7,0.7,0.6,0.4,3.4,NA  ,NA  ,NA  ,NA  
F-Zero                                      ,SNES,1990,Racing      ,Nintendo                   ,1.4,0.5,0.9,0.1,2.9,NA  ,NA  ,NA  ,NA  
Dragon Warrior IV                           ,NES ,1990,Role-Playing,Enix Corporation           ,0.1,0,3,0,3.1,NA  ,NA  ,NA  ,NA  
Final Fantasy III                           ,NES ,1990,Role-Playing,SquareSoft                 ,0,0,1.4,0,1.4,NA  ,NA  ,NA  ,NA  
Pilotwings                                  ,SNES,1990,Simulation  ,Nintendo                   ,0.5,0.2,0.5,0,1.1,NA  ,NA  ,NA  ,NA  
Nintendo World Cup                          ,NES ,1990,Sports      ,Nintendo                   ,0.3,0.5,0.7,0.1,1.5,NA  ,NA  ,NA  ,NA  
The Legend of Zelda: A Link to the Past     ,SNES,1991,Action      ,Nintendo                   ,2.4,0.9,1.1,0.1,4.6,NA  ,NA  ,NA  ,NA  
Teenage Mutant Ninja Turtles III: The Manhat,NES ,1991,Action      ,Konami Digital Entertainmen,1.1,0.2,0.1,0,1.4,NA  ,NA  ,NA  ,NA  
Super Wagyan Land                           ,SNES,1991,Action      ,Namco Bandai Games         ,0,0,0.4,0,0.4,NA  ,NA  ,NA  ,NA  
Metroid II: Return of Samus                 ,GB  ,1991,Adventure   ,Nintendo                   ,0.8,0.3,0.6,0,1.8,NA  ,NA  ,NA  ,NA  
The Legend of the Mystical Ninja            ,SNES,1991,Adventure   ,Konami Digital Entertainmen,0,0,0.5,0,0.5,NA  ,NA  ,NA  ,NA  
Super Fire ProWrestling                     ,SNES,1991,Fighting    ,Human Entertainment        ,0,0,0.4,0,0.4,NA  ,NA  ,NA  ,NA  
Sonic the Hedgehog                          ,GEN ,1991,Platform    ,Sega                       ,3,0.9,0.3,0.1,4.3,NA  ,NA  ,NA  ,NA  
Super Ghouls 'n Ghosts                      ,SNES,1991,Platform    ,Capcom                     ,0.5,0.1,0.5,0,1.2,NA  ,NA  ,NA  ,NA  
Mega Man 4                                  ,NES ,1991,Platform    ,Capcom                     ,0.5,0.1,0.3,0,0.9,NA  ,NA  ,NA  ,NA  
Super Castlevania IV                        ,SNES,1991,Platform    ,Konami Digital Entertainmen,0.3,0.1,0.2,0,0.6,NA  ,NA  ,NA  ,NA  
Yoshi                                       ,NES ,1991,Puzzle      ,Nintendo                   ,0.7,0.1,0.9,0,1.8,NA  ,NA  ,NA  ,NA  
Yoshi                                       ,GB  ,1991,Puzzle      ,Nintendo                   ,0,0,0.7,0,0.7,NA  ,NA  ,NA  ,NA  
Bomberman II                                ,NES ,1991,Puzzle      ,Hudson Soft                ,0.2,0,0.1,0.1,0.4,NA  ,NA  ,NA  ,NA  
Super R.C. Pro-Am                           ,GB  ,1991,Racing      ,Nintendo                   ,0.6,0.4,0.1,0,1.1,NA  ,NA  ,NA  ,NA  
Final Fantasy II                            ,SNES,1991,Role-Playing,Square                     ,0.2,0.1,1.3,0.1,1.8,NA  ,NA  ,NA  ,NA  
Final Fantasy Legend III                    ,GB  ,1991,Role-Playing,SquareSoft                 ,0,0,0.8,0,0.8,NA  ,NA  ,NA  ,NA  
Super Scope 6                               ,SNES,1991,Shooter     ,Nintendo                   ,1.1,0.4,0.1,0.1,1.6,NA  ,NA  ,NA  ,NA  
SimCity                                     ,SNES,1991,Simulation  ,Nintendo                   ,0.9,0.3,0.8,0,2,NA  ,NA  ,NA  ,NA  
NES Open Tournament Golf                    ,NES ,1991,Sports      ,Nintendo                   ,0.4,0.1,0.5,0,1,NA  ,NA  ,NA  ,NA  
Super Soccer                                ,SNES,1991,Sports      ,Nintendo                   ,0,0,0.4,0,0.4,NA  ,NA  ,NA  ,NA  
The Legend of Zelda: Link's Awakening       ,GB  ,1992,Action      ,Nintendo                   ,2.2,1,0.5,0.1,3.8,NA  ,NA  ,NA  ,NA  
Super Mario Land 2: 6 Golden Coins          ,GB  ,1992,Adventure   ,Nintendo                   ,6.2,2,2.7,0.3,11.2,NA  ,NA  ,NA  ,NA  
The 7th Guest                               ,PC  ,1992,Adventure   ,Virgin Interactive         ,0,0.8,0,0,0.8,NA  ,NA  ,T   ,NA  
Street Fighter II: The World Warrior        ,SNES,1992,Fighting    ,Capcom                     ,2.5,0.8,2.9,0.1,6.3,NA  ,NA  ,NA  ,NA  
Street Fighter II Turbo                     ,SNES,1992,Fighting    ,Capcom                     ,1.4,0.5,2.1,0.1,4.1,NA  ,NA  ,NA  ,NA  
Mortal Kombat                               ,GEN ,1992,Fighting    ,Arena Entertainment        ,1.9,0.6,0,0.1,2.7,NA  ,NA  ,NA  ,NA  
